1.076000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
1.087000000000000000e+03,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.092000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
1.104000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
1.153000000000000000e+03,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.192000000000000000e+03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
1.217000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
1.240000000000000000e+03,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
1.244000000000000000e+03,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
1.258000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00
