4.320000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
4.380000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
4.390000000000000000e+02,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
4.410000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.560000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.650000000000000000e+02,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
4.860000000000000000e+02,3.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.090000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
5.200000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00
5.420000000000000000e+02,2.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00
